lang,version,book_name,book_abbr,chapter_num,verse_num,verse_text
eng,ASV,2 Corinthians,2CO,6,2,"(for he saith, At an acceptable time I hearkened unto thee, And in a day of salvation did I succor thee: behold, now is the acceptable time; behold, now is the day of salvation):"
eng,ASV,2 Corinthians,2CO,6,3,"giving no occasion of stumbling in anything, that our ministration be not blamed;"
eng,ASV,2 Corinthians,2CO,6,4,"but in everything commending ourselves, as ministers of God, in much patience, in afflictions, in necessities, in distresses,"
eng,ASV,2 Corinthians,2CO,6,5,"in stripes, in imprisonments, in tumults, in labors, in watchings, in fastings;"
eng,ASV,2 Corinthians,2CO,6,6,"in pureness, in knowledge, in longsuffering, in kindness, in the Holy Spirit, in love unfeigned,"
eng,ASV,2 Corinthians,2CO,6,7,"in the word of truth, in the power of God; by the armor of righteousness on the right hand and on the left,"
eng,ASV,2 Corinthians,2CO,6,8,"by glory and dishonor, by evil report and good report; as deceivers, and yet true;"
eng,ASV,2 Corinthians,2CO,6,9,"as unknown, and yet well known; as dying, and behold, we live; as chastened, and not killed;"
eng,ASV,2 Corinthians,2CO,6,10,"as sorrowful, yet always rejoicing; as poor, yet making many rich; as having nothing, and yet possessing all things. "
eng,ASV,2 Corinthians,2CO,6,11,"Our mouth is open unto you, O Corinthians, our heart is enlarged."
eng,ASV,2 Corinthians,2CO,6,12,"Ye are not straitened in us, but ye are straitened in your own affections."
eng,ASV,2 Corinthians,2CO,6,13,"Now for a recompense in like kind (I speak as unto my children), be ye also enlarged. "
eng,ASV,2 Corinthians,2CO,6,14,Be not unequally yoked with unbelievers: for what fellowship have righteousness and iniquity? or what communion hath light with darkness?
eng,ASV,2 Corinthians,2CO,6,15,And what concord hath Christ with Belial? or what portion hath a believer with an unbeliever?
eng,ASV,2 Corinthians,2CO,6,16,"And what agreement hath a temple of God with idols? for we are a temple of the living God; even as God said, I will dwell in them, and walk in them; and I will be their God, and they shall be my people."
eng,ASV,2 Corinthians,2CO,6,17,"Wherefore Come ye out from among them, and be ye separate, saith the Lord, And touch no unclean thing; And I will receive you, "
eng,ASV,2 Corinthians,2CO,6,18,"And will be to you a Father, And ye shall be to me sons and daughters, saith the Lord Almighty."
eng,ASV,2 Corinthians,2CO,7,1,"Having therefore these promises, beloved, let us cleanse ourselves from all defilement of flesh and spirit, perfecting holiness in the fear of God. "
eng,ASV,2 Corinthians,2CO,7,2,"Open your hearts to us: we wronged no man, we corrupted no man, we took advantage of no man."
eng,ASV,2 Corinthians,2CO,7,3,"I say it not to condemn you: for I have said before, that ye are in our hearts to die together and live together."
eng,ASV,2 Corinthians,2CO,7,4,"Great is my boldness of speech toward you, great is my glorying on your behalf: I am filled with comfort, I overflow with joy in all our affliction. "
eng,ASV,2 Corinthians,2CO,7,5,"For even when we were come into Macedonia our flesh had no relief, but we were afflicted on every side; without were fightings, within were fears."
eng,ASV,2 Corinthians,2CO,7,6,"Nevertheless he that comforteth the lowly, even God, comforted us by the coming of Titus;"
eng,ASV,2 Corinthians,2CO,7,7,"and not by his coming only, but also by the comfort wherewith he was comforted in you, while he told us your longing, your mourning, your zeal for me; so that I rejoiced yet more."
eng,ASV,2 Corinthians,2CO,7,8,"For though I made you sorry with my epistle, I do not regret it: though I did regret it (for I see that that epistle made you sorry, though but for a season),"
eng,ASV,2 Corinthians,2CO,7,9,"I now rejoice, not that ye were made sorry, but that ye were made sorry unto repentance; for ye were made sorry after a godly sort, that ye might suffer loss by us in nothing."
eng,ASV,2 Corinthians,2CO,7,10,"For godly sorrow worketh repentance unto salvation, a repentance which bringeth no regret: but the sorrow of the world worketh death."
eng,ASV,2 Corinthians,2CO,7,11,"For behold, this selfsame thing, that ye were made sorry after a godly sort, what earnest care it wrought in you, yea what clearing of yourselves, yea what indignation, yea what fear, yea what longing, yea what zeal, yea what avenging! In everything ye approved yourselves to be pure in the matter."
eng,ASV,2 Corinthians,2CO,7,12,"So although I wrote unto you, I wrote not for his cause that did the wrong, nor for his cause that suffered the wrong, but that your earnest care for us might be made manifest unto you in the sight of God."
eng,ASV,2 Corinthians,2CO,7,13,"Therefore we have been comforted: and in our comfort we joyed the more exceedingly for the joy of Titus, because his spirit hath been refreshed by you all."
eng,ASV,2 Corinthians,2CO,7,14,"For if in anything I have gloried to him on your behalf, I was not put to shame; but as we spake all things to you in truth, so our glorying also which I made before Titus was found to be truth."
